recommendationid,clean_sentence,tokenized_sentence,voted_up,order,informative,heuristic,RoBERTa-Twitter_sentiment,RoBERTa-Twitter_score,VADER_sentiment,VADER_score,Sarcasm_Prob,RoBERTa-Twitter_score_standardized,VADER_score_standardized,sentence_count,RoBERTa-Twitter_sentiment_mode,VADER_sentiment_mode,new_RoBERTa-Twitter_score,vader_remapped_sentiment_classification,roberta_remapped_sentiment_classification,tokenized_sentence_no_punct,clean_sentence_no_punct,constructive,constructive_probability
50949109.0,fun game though encounter trappedbugged galaxy bit often really dont like limited clunky inventory storage,fun game though i encounter the trappedbugged galaxy a bit too often and i really dont like how limited and clunky inventory storage is,1.0,0.0,1.0,"[""[('U',)]""]",TBD,0.8740463,TBD,0.3772,0.0813489556312561,0.6456381667019437,0.383039903142814,1.0,Negative,Positive,-0.8740463,Positive,Negative,fun game though i encounter the trappedbugged galaxy a bit too often and i really dont like how limited and clunky inventory storage is,fun game though encounter trappedbugged galaxy bit often really dont like limited clunky inventory storage,1,0.5896406193116883
25200012.0,space combat difficalut overwhelming due difficult advisaries clunky controls,the space combat can be difficalut and overwhelming but not due to difficult advisaries but clunky controls and ui,0.0,33.0,1.0,"[""[('U',)]""]",TBD,0.6688049,TBD,0.2418,0.1544646024703979,0.0190429724320448,0.2464309135852294,1.0,Negative,Positive,-0.6688049,Positive,Negative,the space combat can be difficalut and overwhelming but not due to difficult advisaries but clunky controls and ui,space combat difficalut overwhelming due difficult advisaries clunky controls,1,0.7213937583630902
24881094.0,upgrade customisation paths clunky limited could many better ways approach part game instead feels bit immature basic,the upgrade and customisation paths are clunky and limited there could have been so many better ways to approach this part of the game instead it just feels a bit immature and basic,0.0,4.0,1.0,"[""[('U',)]""]",TBD,0.92180437,TBD,0.3134,0.0899344086647033,0.7914419721213446,0.3186702315492105,1.0,Negative,Positive,-0.92180437,Positive,Negative,the upgrade and customisation paths are clunky and limited there could have been so many better ways to approach this part of the game instead it just feels a bit immature and basic,upgrade customisation paths clunky limited could many better ways approach part game instead feels bit immature basic,1,0.8054924924327574
43986221.0,space physics clunky best feels like chore fly. far able connectfeel attached ship nms look bit generic boring,the space physics are very clunky at best and it feels like a chore to fly. so far i have not been able to connectfeel attached to my ship in nms they look a bit generic and boring,1.0,23.0,1.0,"[""[('U',)]""]",TBD,0.8918092550000001,TBD,0.2351,0.1551207304000854,0.6998678798057933,0.239671089138879,2.0,Negative,Negative,-0.8918092550000001,Positive,Negative,the space physics are very clunky at best and it feels like a chore to fly so far i have not been able to connectfeel attached to my ship in nms they look a bit generic and boring,space physics clunky best feels like chore fly far able connectfeel attached ship nms look bit generic boring,1,0.5579173791818951
24966594.0,options screenwhich slightly annoing use see button mapping controls. warnings anything tell save gamebtw options menu didnt save button quit,so i had to go the options screenwhich is slightly annoing to use just to see the button mapping for controls. no warnings or anything to tell you to save your gamebtw options menu didnt have a save button before you quit,0.0,4.5,1.0,"[""[('U',)]""]",TBD,0.65378231,TBD,0.2294,0.160382866859436,-0.0268204971188693,0.2339201937143721,2.0,Negative,Neutral,-0.264243335,Positive,Negative,so i had to go the options screenwhich is slightly annoing to use just to see the button mapping for controls no warnings or anything to tell you to save your gamebtw options menu didnt have a save button before you quit,options screenwhich slightly annoing use see button mapping controls warnings anything tell save gamebtw options menu didnt save button quit,1,0.5883275981003824
43938041.0,much improvements via gameplay visuals feel like interface user game jagged. best tip new players read supplied info pause menu get stuck cant figure get something,there has been much improvements via gameplay and visuals but i feel like the interface between the user and the game is jagged. my best tip for new players read the supplied info in the pause menu when you get stuck and cant figure out where to get something,1.0,13.0,1.0,"[""[('U',)]""]",TBD,0.548624615,TBD,0.5466500000000001,0.1621394157409667,-0.3478634559346822,0.5540029258941633,2.0,Negative,Positive,-0.231306715,Positive,Negative,there has been much improvements via gameplay and visuals but i feel like the interface between the user and the game is jagged my best tip for new players read the supplied info in the pause menu when you get stuck and cant figure out where to get something,much improvements via gameplay visuals feel like interface user game jagged best tip new players read supplied info pause menu get stuck cant figure get something,1,0.9018598625287509
54654365.0,structured mechanics shallow far perfect get behind,its not very structured some of the mechanics are shallow and its far from perfect but if you can get behind it go for it,1.0,7.0,1.0,"[""[('U',)]""]",TBD,0.5696772,TBD,0.3291,0.0264016389846801,-0.2835906114308026,0.3345104171921504,1.0,Negative,Positive,-0.5696772,Positive,Negative,its not very structured some of the mechanics are shallow and its far from perfect but if you can get behind it go for it,structured mechanics shallow far perfect get behind,1,0.8837248168449421
43196344.0,knew flop going hoping could get little bit,i knew it was a flop going in to it but i was just hoping that i could get a little bit out of it,0.0,1.0,1.0,"[""[('U',)]""]",TBD,0.82787746,TBD,0.4588,0.0417868494987487,0.5046862278191651,0.4653685113252281,1.0,Negative,Positive,-0.82787746,Positive,Negative,i knew it was a flop going in to it but i was just hoping that i could get a little bit out of it,knew flop going hoping could get little bit,1,0.5993164640970029
24998859.0,yes though controls primitive little point,yes again though the controls are primitive and there is little point to it,0.0,10.0,1.0,"[""[('U',)]""]",TBD,0.86509687,TBD,0.4019,0.2917580008506775,0.6183158534188784,0.4079604499823437,1.0,Negative,Positive,-0.86509687,Positive,Negative,yes again though the controls are primitive and there is little point to it,yes though controls primitive little point,1,0.5584066932565024
29195939.0,perfect would really like bloom brightness controls. terrible still aaa game. still got work improve overall user experience think,its not perfect i would really like some bloom and brightness controls. while its not terrible this is still not a aaa game. they still got work to do to improve the overall user experience i think,1.0,4.0,1.0,"[""[('U',)]""]",TBD,0.6774913800000001,TBD,0.3838999999999999,0.1082868576049804,0.0455625080770053,0.3897997275891641,3.0,Negative,Positive,-0.5046355666666668,Positive,Negative,its not perfect i would really like some bloom and brightness controls while its not terrible this is still not a aaa game they still got work to do to improve the overall user experience i think,perfect would really like bloom brightness controls terrible still aaa game still got work improve overall user experience think,1,0.6953292665388274
